date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.10	00:00	156.362	156.361	156.357	156.355	156.347	156.342	156.343	156.342	156.343	156.344
2025.12.10	00:01	156.338	156.340	156.334	156.335	156.331	156.332	156.327	156.328	156.328	156.329
2025.12.10	00:02	156.333	156.334	156.332	156.331	156.330	156.325	156.324	156.324	156.324	156.326
2025.12.10	00:03	156.329	156.326	156.323	156.321	156.314	156.309	156.318	156.314	156.316	156.323
2025.12.10	00:04	156.318	156.319	156.323	156.326	156.335	156.341	156.341	156.341	156.341	156.340
2025.12.10	00:05	156.342	156.342	156.343	156.342	156.341	156.339	156.338	156.338	156.338	156.339
2025.12.10	00:06	156.343	156.343	156.346	156.347	156.350	156.352	156.351	156.356	156.354	156.358
2025.12.10	00:07	156.353	156.355	156.351	156.352	156.349	156.344	156.347	156.345	156.347	156.349
2025.12.10	00:08	156.351	156.352	156.347	156.345	156.338	156.332	156.336	156.334	156.335	156.339
2025.12.10	00:09	156.339	156.339	156.347	156.349	156.359	156.365	156.364	156.366	156.365	156.363
2025.12.10	00:10	156.362	156.362	156.362	156.366	156.367	156.370	156.372	156.373	156.375	156.373
2025.12.10	00:11	156.372	156.371	156.372	156.370	156.369	156.370	156.366	156.365	156.366	156.366
2025.12.10	00:12	156.372	156.375	156.376	156.380	156.385	156.386	156.386	156.386	156.386	156.385
2025.12.10	00:13	156.399	156.395	156.402	156.398	156.396	156.393	156.390	156.387	156.387	156.380
2025.12.10	00:14	156.385	156.384	156.387	156.385	156.384	156.383	156.383	156.380	156.379	156.375
2025.12.10	00:15	156.373	156.372	156.376	156.383	156.391	156.393	156.405	156.399	156.401	156.396
2025.12.10	00:16	156.391	156.391	156.388	156.388	156.383	156.382	156.376	156.379	156.379	156.381
2025.12.10	00:17	156.384	156.385	156.382	156.378	156.370	156.368	156.361	156.362	156.362	156.364
2025.12.10	00:18	156.363	156.364	156.369	156.371	156.382	156.386	156.384	156.385	156.384	156.378
2025.12.10	00:19	156.384	156.381	156.378	156.372	156.363	156.361	156.349	156.351	156.350	156.351
2025.12.10	00:20	156.346	156.346	156.348	156.353	156.356	156.361	156.365	156.368	156.371	156.377
2025.12.10	00:21	156.377	156.376	156.379	156.382	156.386	156.389	156.393	156.389	156.391	156.388
2025.12.10	00:22	156.386	156.386	156.385	156.388	156.393	156.393	156.399	156.396	156.398	156.395
2025.12.10	00:23	156.403	156.402	156.409	156.409	156.414	156.415	156.421	156.418	156.419	156.418
2025.12.10	00:24	156.407	156.412	156.405	156.416	156.413	156.425	156.425	156.436	156.434	156.447
2025.12.10	00:25	156.455	156.455	156.461	156.461	156.469	156.471	156.479	156.476	156.476	156.476
2025.12.10	00:26	156.473	156.473	156.474	156.475	156.479	156.482	156.483	156.482	156.482	156.478
2025.12.10	00:27	156.479	156.481	156.479	156.479	156.478	156.475	156.475	156.476	156.475	156.477
2025.12.10	00:28	156.478	156.479	156.479	156.474	156.469	156.468	156.466	156.470	156.470	156.476
2025.12.10	00:29	156.474	156.474	156.475	156.476	156.478	156.478	156.481	156.478	156.478	156.476
2025.12.10	00:30	156.465	156.465	156.465	156.469	156.477	156.478	156.485	156.483	156.484	156.482
2025.12.10	00:31	156.492	156.490	156.493	156.489	156.482	156.482	156.478	156.479	156.479	156.482
2025.12.10	00:32	156.475	156.474	156.478	156.486	156.494	156.498	156.512	156.499	156.502	156.495
2025.12.10	00:33	156.490	156.490	156.493	156.496	156.505	156.506	156.509	156.502	156.504	156.497
2025.12.10	00:34	156.500	156.498	156.502	156.495	156.496	156.490	156.492	156.486	156.487	156.481
2025.12.10	00:35	156.476	156.476	156.469	156.469	156.464	156.461	156.457	156.459	156.457	156.459
2025.12.10	00:36	156.460	156.460	156.460	156.461	156.463	156.465	156.465	156.465	156.465	156.463
2025.12.10	00:37	156.451	156.452	156.441	156.439	156.430	156.424	156.417	156.420	156.421	156.423
2025.12.10	00:38	156.419	156.421	156.421	156.425	156.429	156.429	156.431	156.426	156.428	156.425
2025.12.10	00:39	156.414	156.414	156.407	156.405	156.398	156.396	156.388	156.390	156.390	156.391
2025.12.10	00:40	156.390	156.389	156.399	156.403	156.418	156.426	156.424	156.427	156.425	156.419
2025.12.10	00:41	156.425	156.422	156.428	156.423	156.424	156.420	156.416	156.417	156.415	156.416
2025.12.10	00:42	156.413	156.414	156.416	156.419	156.423	156.423	156.428	156.425	156.427	156.425
2025.12.10	00:43	156.427	156.424	156.418	156.411	156.397	156.394	156.386	156.386	156.386	156.388
2025.12.10	00:44	156.394	156.393	156.394	156.388	156.379	156.378	156.367	156.368	156.368	156.370
2025.12.10	00:45	156.372	156.371	156.367	156.361	156.352	156.350	156.342	156.352	156.352	156.360
2025.12.10	00:46	156.352	156.356	156.353	156.360	156.360	156.364	156.373	156.370	156.371	156.370
2025.12.10	00:47	156.377	156.376	156.380	156.375	156.374	156.371	156.371	156.368	156.367	156.363
2025.12.10	00:48	156.362	156.363	156.367	156.370	156.375	156.375	156.380	156.377	156.379	156.378
2025.12.10	00:49	156.377	156.376	156.384	156.386	156.391	156.399	156.386	156.388	156.388	156.380
2025.12.10	00:50	156.386	156.385	156.387	156.383	156.382	156.378	156.376	156.373	156.373	156.365
2025.12.10	00:51	156.370	156.369	156.370	156.368	156.360	156.357	156.358	156.357	156.357	156.360
2025.12.10	00:52	156.362	156.359	156.349	156.340	156.320	156.317	156.301	156.303	156.302	156.302
2025.12.10	00:53	156.307	156.308	156.305	156.300	156.291	156.289	156.282	156.285	156.285	156.289
2025.12.10	00:54	156.284	156.288	156.290	156.296	156.305	156.307	156.319	156.317	156.318	156.318
2025.12.10	00:55	156.319	156.320	156.314	156.313	156.308	156.301	156.302	156.301	156.302	156.302
2025.12.10	00:56	156.295	156.300	156.304	156.307	156.317	156.325	156.325	156.326	156.326	156.325
2025.12.10	00:57	156.319	156.320	156.319	156.323	156.328	156.330	156.338	156.331	156.333	156.328
2025.12.10	00:58	156.330	156.330	156.333	156.335	156.335	156.341	156.340	156.341	156.340	156.339
2025.12.10	00:59	156.334	156.336	156.330	156.331	156.327	156.323	156.330	156.334	156.331	156.339
2025.12.10	01:00	156.338	156.339	156.342	156.348	156.355	156.359	156.368	156.348	156.351	156.341
2025.12.10	01:01	156.345	156.344	156.345	156.337	156.332	156.328	156.317	156.318	156.316	156.320
2025.12.10	01:02	156.315	156.315	156.315	156.315	156.319	156.322	156.325	156.324	156.324	156.324
2025.12.10	01:03	156.335	156.336	156.344	156.348	156.351	156.362	156.352	156.357	156.354	156.348
2025.12.10	01:04	156.351	156.348	156.344	156.343	156.334	156.328	156.339	156.337	156.341	156.348
2025.12.10	01:05	156.352	156.349	156.354	156.352	156.355	156.354	156.355	156.353	156.354	156.352
2025.12.10	01:06	156.348	156.350	156.344	156.345	156.340	156.335	156.336	156.336	156.335	156.336
