date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.09	00:00	155.560	155.557	155.554	155.548	155.538	155.537	155.536	155.543	155.541	155.550
2025.12.09	00:01	155.541	155.543	155.541	155.543	155.547	155.547	155.551	155.551	155.553	155.558
2025.12.09	00:02	155.550	155.550	155.551	155.556	155.565	155.566	155.573	155.572	155.572	155.571
2025.12.09	00:03	155.561	155.564	155.559	155.566	155.565	155.571	155.572	155.578	155.575	155.583
2025.12.09	00:04	155.579	155.579	155.581	155.582	155.586	155.589	155.588	155.588	155.588	155.588
2025.12.09	00:05	155.591	155.591	155.587	155.585	155.577	155.574	155.568	155.568	155.569	155.571
2025.12.09	00:06	155.563	155.563	155.557	155.555	155.551	155.546	155.550	155.548	155.549	155.552
2025.12.09	00:07	155.559	155.559	155.560	155.557	155.552	155.552	155.545	155.548	155.548	155.551
2025.12.09	00:08	155.551	155.551	155.547	155.545	155.544	155.538	155.537	155.537	155.537	155.539
2025.12.09	00:09	155.538	155.537	155.542	155.544	155.546	155.544	155.544	155.544	155.543	155.539
2025.12.09	00:10	155.540	155.540	155.540	155.535	155.533	155.531	155.527	155.525	155.523	155.519
2025.12.09	00:11	155.514	155.516	155.510	155.511	155.506	155.503	155.509	155.506	155.508	155.511
2025.12.09	00:12	155.510	155.510	155.513	155.518	155.526	155.527	155.534	155.524	155.526	155.517
2025.12.09	00:13	155.516	155.517	155.519	155.520	155.527	155.527	155.527	155.524	155.527	155.523
2025.12.09	00:14	155.524	155.523	155.519	155.519	155.514	155.511	155.510	155.510	155.508	155.502
2025.12.09	00:15	155.506	155.504	155.508	155.504	155.505	155.501	155.502	155.499	155.497	155.493
2025.12.09	00:16	155.503	155.501	155.500	155.493	155.483	155.482	155.476	155.481	155.481	155.486
2025.12.09	00:17	155.489	155.489	155.495	155.495	155.502	155.504	155.509	155.498	155.501	155.493
2025.12.09	00:18	155.496	155.494	155.494	155.491	155.487	155.487	155.480	155.488	155.487	155.491
2025.12.09	00:19	155.492	155.492	155.492	155.490	155.489	155.486	155.480	155.484	155.483	155.487
2025.12.09	00:20	155.494	155.493	155.498	155.498	155.501	155.502	155.508	155.506	155.507	155.506
2025.12.09	00:21	155.502	155.505	155.506	155.507	155.514	155.515	155.512	155.513	155.512	155.508
2025.12.09	00:22	155.509	155.510	155.505	155.505	155.501	155.494	155.494	155.495	155.494	155.496
2025.12.09	00:23	155.494	155.494	155.496	155.501	155.505	155.508	155.514	155.515	155.517	155.523
2025.12.09	00:24	155.520	155.520	155.521	155.524	155.529	155.530	155.533	155.534	155.535	155.541
2025.12.09	00:25	155.543	155.541	155.544	155.537	155.538	155.532	155.534	155.528	155.529	155.520
2025.12.09	00:26	155.522	155.522	155.521	155.518	155.512	155.512	155.505	155.506	155.506	155.508
2025.12.09	00:27	155.505	155.506	155.507	155.509	155.510	155.508	155.512	155.512	155.512	155.516
2025.12.09	00:28	155.512	155.513	155.511	155.510	155.509	155.505	155.503	155.503	155.504	155.504
2025.12.09	00:29	155.505	155.506	155.508	155.508	155.511	155.513	155.513	155.515	155.514	155.514
2025.12.09	00:30	155.505	155.508	155.516	155.520	155.533	155.544	155.546	155.547	155.547	155.546
2025.12.09	00:31	155.541	155.542	155.543	155.551	155.559	155.563	155.576	155.568	155.570	155.565
2025.12.09	00:32	155.564	155.564	155.568	155.566	155.570	155.575	155.573	155.574	155.574	155.573
2025.12.09	00:33	155.570	155.570	155.570	155.574	155.576	155.579	155.581	155.583	155.585	155.589
2025.12.09	00:34	155.590	155.591	155.588	155.582	155.575	155.574	155.565	155.571	155.568	155.575
2025.12.09	00:35	155.569	155.572	155.570	155.576	155.578	155.582	155.588	155.587	155.587	155.587
2025.12.09	00:36	155.588	155.588	155.587	155.581	155.576	155.573	155.565	155.565	155.565	155.566
2025.12.09	00:37	155.565	155.564	155.574	155.577	155.583	155.592	155.590	155.591	155.592	155.590
2025.12.09	00:38	155.583	155.582	155.586	155.588	155.595	155.601	155.602	155.602	155.603	155.601
2025.12.09	00:39	155.606	155.605	155.611	155.610	155.614	155.616	155.618	155.614	155.618	155.614
2025.12.09	00:40	155.610	155.610	155.607	155.606	155.604	155.600	155.599	155.600	155.600	155.602
2025.12.09	00:41	155.602	155.601	155.608	155.611	155.622	155.628	155.632	155.631	155.630	155.627
2025.12.09	00:42	155.621	155.621	155.621	155.623	155.626	155.625	155.628	155.628	155.630	155.635
2025.12.09	00:43	155.638	155.639	155.636	155.631	155.622	155.620	155.617	155.620	155.619	155.626
2025.12.09	00:44	155.627	155.628	155.623	155.621	155.614	155.609	155.612	155.611	155.611	155.615
2025.12.09	00:45	155.618	155.615	155.612	155.610	155.608	155.601	155.600	155.601	155.601	155.601
2025.12.09	00:46	155.601	155.602	155.595	155.593	155.592	155.589	155.593	155.589	155.591	155.594
2025.12.09	00:47	155.588	155.588	155.583	155.582	155.578	155.576	155.574	155.576	155.576	155.579
2025.12.09	00:48	155.579	155.578	155.584	155.584	155.588	155.594	155.592	155.591	155.592	155.591
2025.12.09	00:49	155.583	155.585	155.582	155.584	155.585	155.585	155.587	155.588	155.590	155.593
2025.12.09	00:50	155.592	155.592	155.595	155.599	155.605	155.606	155.613	155.605	155.606	155.602
2025.12.09	00:51	155.607	155.607	155.611	155.614	155.614	155.616	155.616	155.617	155.616	155.615
2025.12.09	00:52	155.614	155.615	155.618	155.618	155.622	155.627	155.626	155.626	155.627	155.626
2025.12.09	00:53	155.622	155.624	155.628	155.628	155.633	155.639	155.636	155.637	155.636	155.636
2025.12.09	00:54	155.630	155.633	155.631	155.635	155.635	155.639	155.646	155.642	155.642	155.641
2025.12.09	00:55	155.642	155.642	155.639	155.634	155.627	155.626	155.618	155.631	155.632	155.639
2025.12.09	00:56	155.638	155.637	155.641	155.643	155.650	155.654	155.654	155.654	155.654	155.648
2025.12.09	00:57	155.651	155.648	155.646	155.646	155.640	155.637	155.641	155.641	155.642	155.646
2025.12.09	00:58	155.652	155.651	155.651	155.649	155.643	155.640	155.641	155.640	155.641	155.646
2025.12.09	00:59	155.648	155.649	155.645	155.640	155.631	155.629	155.621	155.623	155.622	155.626
2025.12.09	01:00	155.635	155.634	155.636	155.631	155.629	155.625	155.616	155.616	155.616	155.618
2025.12.09	01:01	155.622	155.620	155.625	155.623	155.627	155.626	155.632	155.630	155.632	155.630
2025.12.09	01:02	155.638	155.634	155.636	155.632	155.626	155.625	155.618	155.625	155.623	155.627
2025.12.09	01:03	155.630	155.628	155.623	155.623	155.617	155.610	155.612	155.611	155.612	155.613
