date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.08	09:00	155.146	155.146	155.146	155.146	155.146	155.146	155.146	155.146	155.146	155.146
2025.12.08	09:01	155.146	155.146	155.146	155.146	155.146	155.146	155.146	155.146	155.146	155.146
2025.12.08	09:02	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141
2025.12.08	09:03	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141
2025.12.08	09:04	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141	155.141
2025.12.08	09:05	155.136	155.139	155.139	155.139	155.139	155.137	155.139	155.139	155.139	155.139
2025.12.08	09:06	155.139	155.163	155.163	155.163	155.163	155.163	155.163	155.163	155.163	155.163
2025.12.08	09:07	155.167	155.170	155.171	155.171	155.168	155.161	155.155	155.155	155.156	155.156
2025.12.08	09:08	155.156	155.155	155.163	155.166	155.171	155.177	155.174	155.173	155.170	155.167
2025.12.08	09:09	155.167	155.167	155.167	155.167	155.167	155.167	155.167	155.167	155.167	155.167
2025.12.08	09:10	155.164	155.162	155.162	155.167	155.176	155.189	155.204	155.200	155.199	155.197
2025.12.08	09:11	155.195	155.196	155.194	155.201	155.200	155.208	155.210	155.203	155.204	155.200
2025.12.08	09:12	155.201	155.203	155.202	155.204	155.203	155.205	155.204	155.209	155.209	155.209
2025.12.08	09:13	155.209	155.210	155.210	155.210	155.210	155.210	155.210	155.210	155.210	155.210
2025.12.08	09:14	155.209	155.209	155.209	155.209	155.209	155.208	155.209	155.209	155.209	155.209
2025.12.08	09:15	155.207	155.206	155.207	155.206	155.207	155.210	155.208	155.209	155.208	155.208
2025.12.08	09:16	155.209	155.208	155.209	155.208	155.209	155.209	155.208	155.210	155.213	155.213
2025.12.08	09:17	155.212	155.214	155.213	155.214	155.213	155.214	155.211	155.214	155.213	155.213
2025.12.08	09:18	155.213	155.214	155.214	155.214	155.214	155.214	155.214	155.214	155.214	155.214
2025.12.08	09:19	155.213	155.214	155.215	155.213	155.212	155.209	155.203	155.207	155.209	155.212
2025.12.08	09:20	155.212	155.211	155.212	155.211	155.212	155.211	155.212	155.211	155.214	155.214
2025.12.08	09:21	155.214	155.213	155.214	155.213	155.214	155.212	155.213	155.212	155.214	155.214
2025.12.08	09:22	155.214	155.213	155.213	155.213	155.213	155.213	155.213	155.213	155.213	155.213
2025.12.08	09:23	155.213	155.213	155.213	155.213	155.213	155.213	155.213	155.213	155.213	155.213
2025.12.08	09:24	155.212	155.213	155.211	155.212	155.210	155.211	155.209	155.210	155.205	155.205
2025.12.08	09:25	155.205	155.206	155.206	155.206	155.205	155.206	155.206	155.206	155.206	155.206
2025.12.08	09:26	155.206	155.207	155.205	155.207	155.206	155.207	155.207	155.207	155.207	155.207
2025.12.08	09:27	155.206	155.209	155.208	155.211	155.210	155.213	155.212	155.213	155.215	155.215
2025.12.08	09:28	155.216	155.217	155.216	155.216	155.216	155.215	155.216	155.216	155.216	155.216
2025.12.08	09:29	155.216	155.217	155.217	155.217	155.217	155.217	155.217	155.217	155.217	155.217
2025.12.08	09:30	155.217	155.216	155.218	155.216	155.217	155.215	155.217	155.216	155.216	155.216
2025.12.08	09:31	155.217	155.217	155.217	155.217	155.217	155.217	155.217	155.217	155.217	155.217
2025.12.08	09:32	155.216	155.215	155.216	155.215	155.217	155.216	155.218	155.217	155.219	155.219
2025.12.08	09:33	155.218	155.219	155.219	155.219	155.219	155.219	155.219	155.219	155.219	155.219
2025.12.08	09:34	155.220	155.219	155.220	155.220	155.220	155.219	155.220	155.220	155.220	155.220
2025.12.08	09:35	155.220	155.221	155.221	155.221	155.221	155.221	155.221	155.221	155.221	155.221
2025.12.08	09:36	155.220	155.221	155.221	155.220	155.221	155.222	155.221	155.221	155.221	155.221
2025.12.08	09:37	155.221	155.220	155.220	155.220	155.220	155.218	155.220	155.220	155.220	155.220
2025.12.08	09:38	155.220	155.218	155.219	155.218	155.219	155.218	155.220	155.218	155.219	155.219
2025.12.08	09:39	155.218	155.219	155.219	155.219	155.218	155.219	155.219	155.219	155.219	155.219
2025.12.08	09:40	155.218	155.221	155.219	155.217	155.218	155.215	155.212	155.211	155.212	155.212
2025.12.08	09:41	155.212	155.213	155.211	155.212	155.210	155.211	155.209	155.213	155.212	155.212
2025.12.08	09:42	155.210	155.211	155.210	155.211	155.210	155.211	155.208	155.211	155.210	155.210
2025.12.08	09:43	155.211	155.209	155.209	155.211	155.212	155.211	155.214	155.215	155.214	155.214
2025.12.08	09:44	155.214	155.213	155.215	155.212	155.213	155.210	155.211	155.207	155.207	155.207
2025.12.08	09:45	155.217	155.213	155.213	155.213	155.213	155.215	155.213	155.213	155.213	155.213
2025.12.08	09:46	155.214	155.212	155.211	155.213	155.211	155.212	155.211	155.211	155.211	155.211
2025.12.08	09:47	155.210	155.207	155.207	155.207	155.207	155.208	155.207	155.207	155.207	155.207
2025.12.08	09:48	155.210	155.210	155.210	155.210	155.210	155.210	155.210	155.210	155.210	155.210
2025.12.08	09:49	155.209	155.208	155.210	155.209	155.212	155.211	155.210	155.212	155.212	155.212
2025.12.08	09:50	155.210	155.210	155.209	155.210	155.211	155.213	155.217	155.217	155.216	155.216
2025.12.08	09:51	155.217	155.216	155.218	155.215	155.216	155.212	155.218	155.217	155.217	155.217
2025.12.08	09:52	155.212	155.212	155.217	155.218	155.220	155.226	155.220	155.221	155.218	155.217
2025.12.08	09:53	155.215	155.213	155.212	155.212	155.215	155.215	155.218	155.220	155.221	155.223
2025.12.08	09:54	155.224	155.223	155.224	155.224	155.223	155.224	155.224	155.223	155.228	155.228
2025.12.08	09:55	155.228	155.226	155.228	155.227	155.228	155.225	155.228	155.228	155.228	155.228
2025.12.08	09:56	155.229	155.228	155.230	155.229	155.230	155.230	155.229	155.230	155.228	155.228
2025.12.08	09:57	155.227	155.229	155.228	155.229	155.226	155.228	155.229	155.226	155.226	155.226
2025.12.08	09:58	155.223	155.223	155.222	155.220	155.219	155.217	155.220	155.219	155.218	155.221
