date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.12	00:00	155.587	155.586	155.581	155.574	155.560	155.558	155.543	155.554	155.552	155.558
2025.12.12	00:01	155.557	155.556	155.562	155.572	155.583	155.588	155.605	155.604	155.605	155.604
2025.12.12	00:02	155.618	155.612	155.620	155.611	155.611	155.603	155.602	155.594	155.592	155.585
2025.12.12	00:03	155.587	155.586	155.580	155.571	155.557	155.555	155.540	155.541	155.540	155.542
2025.12.12	00:04	155.530	155.536	155.531	155.537	155.545	155.546	155.553	155.544	155.546	155.542
2025.12.12	00:05	155.544	155.541	155.537	155.529	155.520	155.518	155.505	155.519	155.516	155.526
2025.12.12	00:06	155.511	155.516	155.513	155.526	155.534	155.542	155.556	155.556	155.558	155.557
2025.12.12	00:07	155.559	155.560	155.553	155.547	155.534	155.532	155.523	155.531	155.529	155.539
2025.12.12	00:08	155.534	155.534	155.535	155.538	155.542	155.545	155.545	155.542	155.543	155.538
2025.12.12	00:09	155.537	155.538	155.539	155.549	155.551	155.558	155.562	155.569	155.572	155.580
2025.12.12	00:10	155.570	155.570	155.560	155.557	155.549	155.544	155.548	155.553	155.550	155.562
2025.12.12	00:11	155.556	155.556	155.550	155.549	155.544	155.538	155.538	155.541	155.539	155.545
2025.12.12	00:12	155.530	155.533	155.530	155.536	155.540	155.544	155.550	155.545	155.548	155.545
2025.12.12	00:13	155.541	155.541	155.539	155.539	155.535	155.534	155.533	155.537	155.536	155.540
2025.12.12	00:14	155.547	155.545	155.552	155.551	155.557	155.557	155.553	155.555	155.555	155.548
2025.12.12	00:15	155.538	155.538	155.541	155.543	155.553	155.558	155.562	155.560	155.561	155.558
2025.12.12	00:16	155.556	155.556	155.558	155.562	155.567	155.568	155.576	155.568	155.569	155.566
2025.12.12	00:17	155.560	155.560	155.558	155.558	155.554	155.552	155.550	155.553	155.551	155.555
2025.12.12	00:18	155.550	155.550	155.543	155.542	155.537	155.536	155.532	155.525	155.527	155.516
2025.12.12	00:19	155.529	155.527	155.532	155.525	155.518	155.514	155.501	155.509	155.507	155.513
2025.12.12	00:20	155.502	155.503	155.506	155.512	155.527	155.529	155.542	155.539	155.540	155.538
2025.12.12	00:21	155.525	155.531	155.527	155.532	155.538	155.540	155.547	155.542	155.543	155.541
2025.12.12	00:22	155.535	155.537	155.535	155.540	155.542	155.547	155.548	155.552	155.554	155.560
2025.12.12	00:23	155.563	155.560	155.551	155.546	155.541	155.528	155.527	155.528	155.528	155.528
2025.12.12	00:24	155.537	155.535	155.539	155.533	155.527	155.524	155.519	155.518	155.519	155.519
2025.12.12	00:25	155.514	155.517	155.519	155.523	155.530	155.530	155.530	155.524	155.526	155.519
2025.12.12	00:26	155.532	155.532	155.535	155.531	155.524	155.523	155.517	155.516	155.516	155.517
2025.12.12	00:27	155.512	155.511	155.513	155.515	155.520	155.524	155.521	155.522	155.523	155.519
2025.12.12	00:28	155.517	155.514	155.515	155.505	155.499	155.493	155.481	155.498	155.496	155.506
2025.12.12	00:29	155.495	155.495	155.486	155.484	155.477	155.472	155.469	155.471	155.469	155.472
2025.12.12	00:30	155.447	155.448	155.422	155.421	155.395	155.394	155.371	155.415	155.404	155.435
2025.12.12	00:31	155.417	155.420	155.419	155.431	155.446	155.452	155.473	155.462	155.466	155.459
2025.12.12	00:32	155.472	155.469	155.482	155.481	155.493	155.495	155.505	155.494	155.500	155.492
2025.12.12	00:33	155.500	155.499	155.499	155.486	155.478	155.470	155.455	155.471	155.467	155.480
2025.12.12	00:34	155.472	155.476	155.478	155.489	155.499	155.505	155.520	155.520	155.521	155.520
2025.12.12	00:35	155.539	155.537	155.530	155.512	155.484	155.480	155.449	155.454	155.451	155.455
2025.12.12	00:36	155.443	155.444	155.443	155.452	155.459	155.465	155.476	155.463	155.468	155.458
2025.12.12	00:37	155.459	155.457	155.449	155.440	155.421	155.417	155.401	155.404	155.401	155.404
2025.12.12	00:38	155.416	155.413	155.409	155.397	155.379	155.377	155.360	155.368	155.365	155.373
2025.12.12	00:39	155.373	155.372	155.370	155.366	155.358	155.357	155.352	155.356	155.355	155.359
2025.12.12	00:40	155.383	155.378	155.387	155.378	155.377	155.366	155.364	155.358	155.357	155.360
2025.12.12	00:41	155.350	155.350	155.341	155.340	155.332	155.330	155.324	155.327	155.326	155.330
2025.12.12	00:42	155.345	155.338	155.343	155.333	155.324	155.319	155.307	155.310	155.309	155.312
2025.12.12	00:43	155.308	155.311	155.310	155.317	155.317	155.325	155.335	155.329	155.330	155.328
2025.12.12	00:44	155.327	155.327	155.334	155.341	155.351	155.353	155.364	155.355	155.358	155.352
2025.12.12	00:45	155.354	155.353	155.353	155.348	155.344	155.343	155.338	155.339	155.338	155.339
2025.12.12	00:46	155.330	155.333	155.333	155.341	155.347	155.351	155.361	155.360	155.362	155.361
2025.12.12	00:47	155.367	155.363	155.369	155.356	155.355	155.342	155.340	155.330	155.327	155.315
2025.12.12	00:48	155.305	155.308	155.304	155.311	155.318	155.321	155.332	155.332	155.332	155.331
2025.12.12	00:49	155.336	155.335	155.335	155.331	155.325	155.322	155.313	155.314	155.314	155.314
2025.12.12	00:50	155.304	155.304	155.295	155.294	155.286	155.282	155.274	155.276	155.276	155.278
2025.12.12	00:51	155.285	155.283	155.288	155.283	155.281	155.276	155.270	155.275	155.272	155.277
2025.12.12	00:52	155.286	155.281	155.286	155.282	155.277	155.278	155.270	155.274	155.271	155.275
2025.12.12	00:53	155.275	155.275	155.267	155.267	155.258	155.251	155.259	155.256	155.258	155.263
2025.12.12	00:54	155.263	155.263	155.261	155.254	155.247	155.244	155.231	155.236	155.235	155.239
2025.12.12	00:55	155.233	155.234	155.237	155.246	155.257	155.263	155.280	155.279	155.279	155.279
2025.12.12	00:56	155.269	155.273	155.270	155.276	155.280	155.283	155.290	155.285	155.288	155.285
2025.12.12	00:57	155.298	155.293	155.297	155.288	155.282	155.278	155.266	155.267	155.266	155.267
2025.12.12	00:58	155.263	155.264	155.262	155.267	155.266	155.271	155.269	155.276	155.273	155.281
2025.12.12	00:59	155.286	155.285	155.290	155.290	155.293	155.294	155.295	155.286	155.290	155.283
2025.12.12	01:00	155.290	155.288	155.292	155.282	155.283	155.271	155.274	155.262	155.262	155.249
2025.12.12	01:01	155.257	155.253	155.252	155.244	155.232	155.229	155.215	155.217	155.216	155.217
2025.12.12	01:02	155.208	155.211	155.209	155.216	155.216	155.224	155.233	155.222	155.226	155.220
2025.12.12	01:03	155.211	155.209	155.203	155.199	155.195	155.188	155.186	155.188	155.186	155.190
2025.12.12	01:04	155.178	155.184	155.184	155.190	155.202	155.204	155.212	155.213	155.213	155.212
2025.12.12	01:05	155.219	155.217	155.218	155.208	155.198	155.192	155.179	155.179	155.178	155.180
2025.12.12	01:06	155.183	155.181	155.184	155.178	155.181	155.174	155.175	155.168	155.169	155.161
