date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.11	00:00	156.705	156.705	156.698	156.696	156.691	156.686	156.695	156.690	156.693	156.699
2025.12.11	00:01	156.700	156.700	156.695	156.694	156.692	156.685	156.686	156.686	156.685	156.686
2025.12.11	00:02	156.686	156.687	156.683	156.681	156.680	156.677	156.677	156.677	156.677	156.678
2025.12.11	00:03	156.674	156.674	156.673	156.669	156.669	156.668	156.667	156.666	156.665	156.663
2025.12.11	00:04	156.661	156.660	156.661	156.662	156.663	156.665	156.666	156.667	156.669	156.672
2025.12.11	00:05	156.667	156.667	156.664	156.662	156.660	156.656	156.652	156.653	156.653	156.654
2025.12.11	00:06	156.650	156.653	156.655	156.656	156.658	156.664	156.664	156.663	156.663	156.663
2025.12.11	00:07	156.669	156.669	156.674	156.676	156.679	156.684	156.676	156.678	156.677	156.673
2025.12.11	00:08	156.678	156.678	156.682	156.684	156.685	156.691	156.688	156.688	156.689	156.687
2025.12.11	00:09	156.680	156.683	156.683	156.687	156.694	156.694	156.703	156.699	156.699	156.698
2025.12.11	00:10	156.704	156.703	156.703	156.697	156.690	156.689	156.682	156.680	156.675	156.671
2025.12.11	00:11	156.672	156.673	156.681	156.682	156.690	156.696	156.688	156.693	156.690	156.685
2025.12.11	00:12	156.692	156.694	156.699	156.703	156.706	156.712	156.706	156.710	156.709	156.704
2025.12.11	00:13	156.707	156.707	156.705	156.701	156.695	156.694	156.687	156.687	156.685	156.678
2025.12.11	00:14	156.685	156.685	156.683	156.682	156.675	156.670	156.666	156.666	156.666	156.669
2025.12.11	00:15	156.657	156.658	156.662	156.664	156.672	156.678	156.680	156.681	156.681	156.681
2025.12.11	00:16	156.682	156.681	156.684	156.688	156.691	156.686	156.688	156.688	156.688	156.684
2025.12.11	00:17	156.681	156.680	156.684	156.686	156.692	156.696	156.692	156.694	156.694	156.691
2025.12.11	00:18	156.696	156.696	156.694	156.694	156.694	156.693	156.690	156.691	156.690	156.692
2025.12.11	00:19	156.693	156.693	156.694	156.696	156.704	156.702	156.700	156.701	156.699	156.695
2025.12.11	00:20	156.690	156.692	156.699	156.700	156.707	156.717	156.709	156.713	156.711	156.708
2025.12.11	00:21	156.705	156.707	156.704	156.707	156.706	156.708	156.711	156.710	156.712	156.711
2025.12.11	00:22	156.712	156.712	156.710	156.706	156.701	156.699	156.693	156.693	156.693	156.694
2025.12.11	00:23	156.694	156.691	156.689	156.687	156.679	156.674	156.673	156.672	156.672	156.673
2025.12.11	00:24	156.679	156.678	156.685	156.684	156.690	156.690	156.692	156.683	156.689	156.681
2025.12.11	00:25	156.672	156.674	156.666	156.667	156.661	156.662	156.656	156.657	156.656	156.659
2025.12.11	00:26	156.661	156.659	156.662	156.657	156.658	156.654	156.656	156.653	156.653	156.646
2025.12.11	00:27	156.638	156.638	156.632	156.630	156.626	156.620	156.627	156.624	156.626	156.628
2025.12.11	00:28	156.623	156.625	156.628	156.629	156.637	156.639	156.636	156.637	156.634	156.630
2025.12.11	00:29	156.636	156.636	156.640	156.640	156.646	156.648	156.654	156.652	156.652	156.652
2025.12.11	00:30	156.645	156.645	156.638	156.637	156.631	156.624	156.621	156.621	156.621	156.622
2025.12.11	00:31	156.615	156.614	156.621	156.624	156.637	156.643	156.632	156.637	156.633	156.623
2025.12.11	00:32	156.615	156.615	156.618	156.620	156.629	156.633	156.638	156.637	156.638	156.637
2025.12.11	00:33	156.627	156.627	156.620	156.618	156.611	156.607	156.601	156.601	156.600	156.601
2025.12.11	00:34	156.601	156.601	156.596	156.595	156.590	156.587	156.596	156.593	156.595	156.599
2025.12.11	00:35	156.587	156.590	156.585	156.587	156.591	156.591	156.595	156.595	156.597	156.603
2025.12.11	00:36	156.595	156.596	156.597	156.605	156.611	156.616	156.626	156.627	156.630	156.639
2025.12.11	00:37	156.647	156.643	156.641	156.639	156.629	156.622	156.625	156.623	156.624	156.627
2025.12.11	00:38	156.628	156.628	156.626	156.620	156.615	156.612	156.603	156.602	156.602	156.602
2025.12.11	00:39	156.607	156.605	156.609	156.610	156.610	156.615	156.613	156.614	156.613	156.611
