date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.05	00:00	154.667	154.666	154.677	154.681	154.696	154.703	154.712	154.712	154.713	154.711
2025.12.05	00:01	154.700	154.700	154.703	154.705	154.714	154.719	154.724	154.724	154.725	154.722
2025.12.05	00:02	154.720	154.720	154.722	154.725	154.731	154.733	154.737	154.736	154.738	154.735
2025.12.05	00:03	154.740	154.740	154.744	154.748	154.748	154.749	154.749	154.749	154.748	154.746
2025.12.05	00:04	154.751	154.750	154.756	154.755	154.759	154.762	154.763	154.759	154.763	154.758
2025.12.05	00:05	154.749	154.751	154.752	154.759	154.769	154.771	154.780	154.782	154.787	154.791
2025.12.05	00:06	154.799	154.797	154.801	154.792	154.790	154.782	154.779	154.774	154.771	154.765
2025.12.05	00:07	154.769	154.768	154.772	154.772	154.774	154.775	154.781	154.779	154.780	154.779
2025.12.05	00:08	154.770	154.771	154.761	154.762	154.753	154.752	154.748	154.753	154.749	154.755
2025.12.05	00:09	154.753	154.753	154.756	154.755	154.760	154.763	154.756	154.759	154.757	154.754
2025.12.05	00:10	154.760	154.760	154.765	154.767	154.770	154.776	154.773	154.775	154.774	154.773
2025.12.05	00:11	154.767	154.768	154.768	154.770	154.774	154.775	154.781	154.776	154.777	154.774
2025.12.05	00:12	154.780	154.779	154.783	154.780	154.779	154.777	154.774	154.774	154.772	154.768
2025.12.05	00:13	154.774	154.775	154.779	154.782	154.783	154.790	154.791	154.791	154.791	154.790
2025.12.05	00:14	154.787	154.786	154.790	154.791	154.795	154.800	154.796	154.797	154.797	154.794
2025.12.05	00:15	154.792	154.793	154.800	154.801	154.808	154.814	154.815	154.817	154.816	154.816
2025.12.05	00:16	154.826	154.826	154.821	154.820	154.818	154.810	154.812	154.812	154.813	154.815
2025.12.05	00:17	154.809	154.808	154.813	154.813	154.818	154.826	154.818	154.819	154.819	154.815
2025.12.05	00:18	154.809	154.810	154.809	154.811	154.815	154.815	154.819	154.817	154.817	154.816
2025.12.05	00:19	154.825	154.823	154.826	154.822	154.816	154.815	154.806	154.811	154.811	154.814
2025.12.05	00:20	154.809	154.812	154.809	154.816	154.817	154.824	154.827	154.830	154.829	154.837
2025.12.05	00:21	154.844	154.843	154.839	154.839	154.833	154.825	154.832	154.828	154.830	154.833
2025.12.05	00:22	154.827	154.830	154.837	154.838	154.846	154.855	154.852	154.853	154.852	154.852
2025.12.05	00:23	154.857	154.855	154.858	154.856	154.855	154.852	154.853	154.850	154.848	154.845
