date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.01	09:00	156.048	156.044	156.045	156.045	156.045	156.041	156.045	156.045	156.045	156.045
2025.12.01	09:01	156.045	156.041	156.041	156.041	156.041	156.041	156.041	156.041	156.041	156.041
2025.12.01	09:02	156.044	156.051	156.050	156.057	156.063	156.056	156.059	156.063	156.063	156.063
2025.12.01	09:03	156.064	156.067	156.067	156.067	156.067	156.065	156.067	156.067	156.067	156.067
2025.12.01	09:04	156.067	156.068	156.068	156.068	156.068	156.068	156.068	156.068	156.068	156.068
2025.12.01	09:05	156.059	156.062	156.056	156.067	156.066	156.076	156.088	156.078	156.079	156.079
2025.12.01	09:06	156.079	156.071	156.084	156.079	156.084	156.088	156.084	156.084	156.084	156.084
2025.12.01	09:07	156.078	156.076	156.074	156.068	156.069	156.060	156.061	156.060	156.060	156.062
2025.12.01	09:08	156.064	156.064	156.064	156.066	156.066	156.066	156.068	156.067	156.072	156.074
2025.12.01	09:09	156.059	156.062	156.068	156.070	156.083	156.087	156.094	156.093	156.097	156.104
2025.12.01	09:10	156.104	156.100	156.101	156.097	156.099	156.098	156.092	156.099	156.099	156.099
2025.12.01	09:11	156.099	156.101	156.101	156.101	156.101	156.101	156.101	156.101	156.101	156.101
2025.12.01	09:12	156.097	156.097	156.097	156.097	156.097	156.097	156.097	156.097	156.097	156.097
2025.12.01	09:13	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100
2025.12.01	09:14	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100
2025.12.01	09:15	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100	156.100
2025.12.01	09:16	156.100	156.092	156.093	156.085	156.086	156.076	156.096	156.095	156.095	156.095
2025.12.01	09:17	156.095	156.094	156.096	156.094	156.095	156.094	156.094	156.094	156.094	156.094
2025.12.01	09:18	156.094	156.098	156.098	156.098	156.098	156.096	156.098	156.098	156.098	156.098
2025.12.01	09:19	156.098	156.107	156.106	156.114	156.115	156.114	156.114	156.114	156.114	156.114
2025.12.01	09:20	156.114	156.115	156.102	156.103	156.097	156.089	156.093	156.097	156.097	156.097
2025.12.01	09:21	156.108	156.104	156.105	156.097	156.085	156.086	156.080	156.086	156.091	156.096
2025.12.01	09:22	156.100	156.105	156.102	156.108	156.100	156.091	156.083	156.084	156.079	156.073
2025.12.01	09:23	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073
2025.12.01	09:24	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073
2025.12.01	09:25	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073
2025.12.01	09:26	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073
2025.12.01	09:27	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073
2025.12.01	09:28	156.073	156.076	156.076	156.076	156.076	156.076	156.076	156.076	156.076	156.076
2025.12.01	09:29	156.076	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073	156.073
2025.12.01	09:30	156.073	156.091	156.091	156.091	156.091	156.091	156.091	156.091	156.091	156.091
2025.12.01	09:31	156.091	156.096	156.086	156.096	156.091	156.096	156.096	156.096	156.096	156.096
2025.12.01	09:32	156.079	156.080	156.062	156.056	156.046	156.031	156.046	156.043	156.048	156.051
2025.12.01	09:33	156.051	156.064	156.063	156.071	156.076	156.074	156.071	156.071	156.071	156.071
2025.12.01	09:34	156.074	156.077	156.078	156.075	156.068	156.058	156.045	156.055	156.060	156.066
2025.12.01	09:35	156.063	156.064	156.056	156.049	156.050	156.042	156.049	156.053	156.057	156.057
2025.12.01	09:36	156.057	156.055	156.053	156.054	156.051	156.049	156.053	156.053	156.055	156.055
2025.12.01	09:37	156.056	156.058	156.057	156.058	156.055	156.057	156.058	156.055	156.055	156.055
2025.12.01	09:38	156.032	156.035	156.037	156.043	156.060	156.065	156.074	156.070	156.068	156.066
2025.12.01	09:39	156.066	156.066	156.066	156.066	156.066	156.066	156.066	156.066	156.066	156.066
