date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.03	00:00	156.005	156.007	156.005	156.011	156.010	156.014	156.014	156.019	156.017	156.025
2025.12.03	00:01	156.014	156.014	156.013	156.017	156.024	156.026	156.029	156.027	156.029	156.026
2025.12.03	00:02	156.024	156.024	156.027	156.030	156.036	156.036	156.042	156.040	156.042	156.050
2025.12.03	00:03	156.049	156.049	156.052	156.056	156.063	156.066	156.068	156.065	156.067	156.062
2025.12.03	00:04	156.065	156.064	156.064	156.060	156.056	156.055	156.051	156.055	156.053	156.056
2025.12.03	00:05	156.058	156.056	156.057	156.050	156.046	156.042	156.035	156.038	156.038	156.039
2025.12.03	00:06	156.042	156.044	156.041	156.041	156.038	156.034	156.034	156.034	156.034	156.035
2025.12.03	00:07	156.034	156.035	156.035	156.036	156.037	156.039	156.040	156.040	156.043	156.046
2025.12.03	00:08	156.056	156.055	156.061	156.061	156.067	156.067	156.071	156.069	156.070	156.068
2025.12.03	00:09	156.058	156.060	156.057	156.060	156.061	156.062	156.063	156.066	156.067	156.070
2025.12.03	00:10	156.072	156.074	156.069	156.063	156.062	156.059	156.059	156.058	156.058	156.059
2025.12.03	00:11	156.063	156.064	156.067	156.069	156.070	156.071	156.070	156.070	156.071	156.068
2025.12.03	00:12	156.069	156.069	156.064	156.062	156.054	156.048	156.046	156.046	156.046	156.046
2025.12.03	00:13	156.045	156.045	156.044	156.041	156.039	156.037	156.031	156.031	156.031	156.032
2025.12.03	00:14	156.033	156.033	156.030	156.027	156.018	156.018	156.010	156.011	156.011	156.011
2025.12.03	00:15	156.008	156.008	156.008	156.013	156.015	156.020	156.030	156.030	156.030	156.029
2025.12.03	00:16	156.031	156.032	156.033	156.028	156.026	156.024	156.019	156.019	156.019	156.021
2025.12.03	00:17	156.016	156.017	156.012	156.012	156.009	156.008	156.005	156.010	156.008	156.013
2025.12.03	00:18	156.013	156.012	156.013	156.016	156.019	156.019	156.016	156.018	156.018	156.015
2025.12.03	00:19	156.009	156.010	156.009	156.012	156.017	156.018	156.020	156.018	156.020	156.017
2025.12.03	00:20	156.024	156.021	156.028	156.027	156.034	156.035	156.038	156.032	156.035	156.030
2025.12.03	00:21	156.023	156.026	156.028	156.029	156.033	156.036	156.034	156.037	156.036	156.035
2025.12.03	00:22	156.036	156.034	156.037	156.035	156.032	156.034	156.030	156.032	156.031	156.034
2025.12.03	00:23	156.032	156.032	156.033	156.033	156.035	156.035	156.037	156.036	156.036	156.034
2025.12.03	00:24	156.031	156.031	156.027	156.025	156.023	156.019	156.021	156.021	156.022	156.023
2025.12.03	00:25	156.023	156.022	156.023	156.018	156.018	156.015	156.009	156.017	156.014	156.019
2025.12.03	00:26	156.022	156.022	156.020	156.019	156.015	156.011	156.011	156.009	156.009	156.012
2025.12.03	00:27	156.021	156.021	156.029	156.031	156.038	156.044	156.048	156.048	156.047	156.047
2025.12.03	00:28	156.048	156.048	156.046	156.046	156.044	156.042	156.044	156.044	156.044	156.046
2025.12.03	00:29	156.052	156.052	156.049	156.050	156.043	156.039	156.039	156.040	156.039	156.040
2025.12.03	00:30	156.035	156.038	156.039	156.040	156.041	156.044	156.040	156.042	156.042	156.040
2025.12.03	00:31	156.035	156.036	156.030	156.030	156.024	156.024	156.018	156.020	156.019	156.019
2025.12.03	00:32	156.021	156.020	156.027	156.029	156.030	156.033	156.028	156.033	156.031	156.027
2025.12.03	00:33	156.026	156.027	156.029	156.029	156.034	156.034	156.035	156.035	156.036	156.035
2025.12.03	00:34	156.035	156.035	156.037	156.037	156.039	156.043	156.041	156.041	156.041	156.040
2025.12.03	00:35	156.036	156.037	156.034	156.033	156.031	156.029	156.029	156.029	156.030	156.031
2025.12.03	00:36	156.034	156.032	156.029	156.028	156.020	156.016	156.018	156.016	156.017	156.020
2025.12.03	00:37	156.025	156.025	156.028	156.031	156.033	156.038	156.028	156.030	156.026	156.024
2025.12.03	00:38	156.018	156.021	156.015	156.016	156.011	156.009	156.009	156.012	156.011	156.015
2025.12.03	00:39	156.016	156.015	156.020	156.022	156.025	156.029	156.025	156.025	156.022	156.019
2025.12.03	00:40	156.018	156.018	156.022	156.024	156.029	156.030	156.032	156.028	156.028	156.026
2025.12.03	00:41	156.028	156.025	156.025	156.024	156.023	156.020	156.019	156.020	156.020	156.020
2025.12.03	00:42	156.014	156.012	156.009	156.006	156.004	156.001	156.000	156.001	156.000	156.002
2025.12.03	00:43	155.996	155.996	155.991	155.989	155.986	155.980	155.992	155.986	155.989	155.997
2025.12.03	00:44	155.987	155.989	155.989	155.994	155.999	156.001	156.012	156.011	156.011	156.011
2025.12.03	00:45	156.010	156.010	156.015	156.015	156.021	156.025	156.025	156.026	156.026	156.026
2025.12.03	00:46	156.028	156.026	156.030	156.028	156.025	156.025	156.022	156.023	156.022	156.025
2025.12.03	00:47	156.021	156.020	156.026	156.031	156.035	156.039	156.039	156.040	156.040	156.038
2025.12.03	00:48	156.036	156.036	156.038	156.039	156.042	156.044	156.046	156.045	156.045	156.043
2025.12.03	00:49	156.049	156.047	156.048	156.044	156.042	156.041	156.036	156.038	156.036	156.038
2025.12.03	00:50	156.032	156.035	156.030	156.035	156.034	156.038	156.036	156.039	156.038	156.043
2025.12.03	00:51	156.048	156.048	156.052	156.056	156.057	156.060	156.056	156.057	156.056	156.055
2025.12.03	00:52	156.048	156.050	156.043	156.046	156.039	156.035	156.033	156.034	156.032	156.033
2025.12.03	00:53	156.027	156.027	156.022	156.020	156.017	156.009	156.012	156.012	156.012	156.015
2025.12.03	00:54	156.014	156.014	156.013	156.012	156.012	156.011	156.010	156.010	156.010	156.008
2025.12.03	00:55	156.009	156.007	156.008	156.003	156.001	155.999	155.995	155.995	155.994	155.986
2025.12.03	00:56	155.989	155.986	155.983	155.981	155.972	155.967	155.974	155.971	155.973	155.976
