date	time	bid01	bid02	bid03	bid04	bid05	bid06	bid07	bid08	bid09	bid10
2025.12.02	00:00	154.797	154.792	154.790	154.780	154.765	154.761	154.744	154.746	154.744	154.745
2025.12.02	00:01	154.739	154.739	154.741	154.750	154.757	154.763	154.773	154.774	154.775	154.774
2025.12.02	00:02	154.781	154.778	154.773	154.764	154.745	154.741	154.729	154.735	154.732	154.738
2025.12.02	00:03	154.728	154.728	154.719	154.717	154.708	154.706	154.699	154.704	154.703	154.707
2025.12.02	00:04	154.697	154.702	154.699	154.707	154.714	154.719	154.728	154.715	154.719	154.711
2025.12.02	00:05	154.700	154.703	154.704	154.710	154.722	154.723	154.729	154.719	154.722	154.713
2025.12.02	00:06	154.703	154.708	154.706	154.712	154.719	154.720	154.729	154.728	154.729	154.728
2025.12.02	00:07	154.738	154.738	154.748	154.750	154.758	154.762	154.767	154.763	154.763	154.761
2025.12.02	00:08	154.755	154.758	154.758	154.765	154.770	154.775	154.784	154.768	154.773	154.763
2025.12.02	00:09	154.761	154.763	154.771	154.773	154.785	154.790	154.790	154.792	154.792	154.789
2025.12.02	00:10	154.804	154.801	154.804	154.795	154.784	154.778	154.761	154.764	154.762	154.766
2025.12.02	00:11	154.759	154.759	154.761	154.765	154.773	154.775	154.779	154.775	154.775	154.770
2025.12.02	00:12	154.782	154.782	154.790	154.792	154.798	154.804	154.805	154.804	154.804	154.801
2025.12.02	00:13	154.795	154.795	154.799	154.805	154.815	154.817	154.831	154.829	154.830	154.829
2025.12.02	00:14	154.832	154.833	154.829	154.828	154.822	154.819	154.816	154.816	154.815	154.819
2025.12.02	00:15	154.821	154.823	154.819	154.818	154.814	154.809	154.810	154.809	154.810	154.811
2025.12.02	00:16	154.821	154.820	154.829	154.830	154.839	154.841	154.846	154.840	154.840	154.835
2025.12.02	00:17	154.828	154.826	154.822	154.815	154.815	154.809	154.805	154.804	154.802	154.795
2025.12.02	00:18	154.795	154.795	154.797	154.802	154.806	154.809	154.817	154.814	154.814	154.812
2025.12.02	00:19	154.813	154.813	154.809	154.804	154.794	154.793	154.784	154.785	154.785	154.787
2025.12.02	00:20	154.785	154.784	154.793	154.793	154.800	154.811	154.802	154.803	154.803	154.798
2025.12.02	00:21	154.808	154.807	154.816	154.817	154.826	154.827	154.834	154.822	154.823	154.815
2025.12.02	00:22	154.818	154.816	154.813	154.812	154.804	154.802	154.804	154.804	154.807	154.811
2025.12.02	00:23	154.802	154.802	154.805	154.811	154.823	154.826	154.837	154.835	154.836	154.833
2025.12.02	00:24	154.836	154.835	154.837	154.826	154.827	154.817	154.817	154.809	154.808	154.800
2025.12.02	00:25	154.806	154.805	154.807	154.802	154.798	154.795	154.789	154.791	154.789	154.793
2025.12.02	00:26	154.785	154.785	154.777	154.775	154.769	154.763	154.766	154.765	154.766	154.770
2025.12.02	00:27	154.763	154.764	154.764	154.766	154.770	154.770	154.775	154.771	154.772	154.770
2025.12.02	00:28	154.764	154.767	154.767	154.771	154.776	154.777	154.786	154.776	154.778	154.774
2025.12.02	00:29	154.778	154.775	154.772	154.771	154.763	154.759	154.763	154.763	154.765	154.769
2025.12.02	00:30	154.761	154.765	154.767	154.783	154.795	154.806	154.823	154.823	154.825	154.823
2025.12.02	00:31	154.837	154.836	154.851	154.850	154.864	154.865	154.877	154.872	154.874	154.871
2025.12.02	00:32	154.875	154.872	154.862	154.848	154.830	154.825	154.803	154.823	154.824	154.837
2025.12.02	00:33	154.839	154.840	154.840	154.835	154.833	154.831	154.824	154.824	154.824	154.826
2025.12.02	00:34	154.806	154.809	154.805	154.813	154.822	154.826	154.841	154.836	154.837	154.833
2025.12.02	00:35	154.833	154.834	154.829	154.828	154.821	154.817	154.813	154.814	154.813	154.814
2025.12.02	00:36	154.801	154.803	154.801	154.806	154.812	154.813	154.818	154.816	154.817	154.817
2025.12.02	00:37	154.807	154.806	154.799	154.795	154.789	154.784	154.780	154.780	154.779	154.781
